Index,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers,Latitude,Longitude
120,QUEEN MARY UNIVERSITY LONDON,ENGLAND,1186,30660,25.85,63,51.5247138,-0.0393104
121,QATAR FOUNDATION (QF),QATAR,1191,30578,25.67,31,25.3128825,51.4354448
122,MICHIGAN STATE UNIVERSITY,USA,1029,30523,29.66,35,42.7023794,-84.4803869
123,PURDUE UNIVERSITY SYSTEM,USA,2092,30372,14.52,21,32.285869,-106.74746
124,VELLORE INSTITUTE OF TECHNOLOGY (VIT),INDIA,2334,30074,12.89,31,12.8420997,80.155307
125,UNIVERSITY OF ALBERTA,CANADA,1621,30041,18.53,32,53.52682,-113.5244937
126,PURDUE UNIVERSITY,USA,2065,30029,14.54,21,40.430028,-86.9264211
127,UNIVERSITY OF SOUTHERN CALIFORNIA,USA,1525,30020,19.69,25,34.0218689,-118.2858579
128,SWINBURNE UNIVERSITY OF TECHNOLOGY,AUSTRALIA,1102,30006,27.23,60,-37.8205585,145.0385763
129,IMT - INSTITUT MINES-TELECOM,FRANCE,2333,29892,12.81,18,47.2820667,-1.5212245
130,UNIVERSITY OF SOUTHAMPTON,ENGLAND,1245,29833,23.96,41,50.9617568,-1.4239975
131,INSTITUT POLYTECHNIQUE DE PARIS,FRANCE,2254,29472,13.08,16,48.7139028,2.2141074
132,UNIVERSITY OF TEHRAN,IRAN,1410,29334,20.8,36,35.7045839,51.394761
133,CHONGQING UNIVERSITY OF POSTS & TELECOMMUNICATIONS,CHINA,2133,29227,13.7,45,29.5338483,106.6040892
134,GUANGZHOU UNIVERSITY,CHINA,1784,28984,16.25,41,23.0354279,113.3886082
135,UNIVERSITY OF NORTH CAROLINA,USA,1573,28906,18.38,23,35.9050353,-79.0477533
136,MINIST EDUC,,2203,28848,13.09,27,18.78378,100.77899
137,UNIVERSITE DE MONTREAL,CANADA,1524,28718,18.84,22,45.5047577,-73.6145418
