Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): COMPUTER SCIENCE   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"565","AT&T","USA","294","8095","27.53","7"
"566","TAIYUAN UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","379","8072","21.30","17"
"567","UNIVERSITY OF COLORADO BOULDER","USA","579","8050","13.90","5"
"568","OLD DOMINION UNIVERSITY","USA","448","8028","17.92","7"
"569","VRIJE UNIVERSITEIT AMSTERDAM","NETHERLANDS","733","8020","10.94","5"
"570","CLEMSON UNIVERSITY","USA","574","7988","13.92","7"
"571","UNIVERSITY OF MUNSTER","GERMANY (FED REP GER)","275","7982","29.03","1"
"571","LEIDEN UNIVERSITY","NETHERLANDS","519","7982","15.38","11"
"573","LOUISIANA STATE UNIVERSITY SYSTEM","USA","539","7963","14.77","17"
"574","UNIVERSITY OF CASSINO","ITALY","103","7959","77.27","5"
"575","CENTRAL CHINA NORMAL UNIVERSITY","CHINA MAINLAND","757","7958","10.51","7"
"576","UNIVERSITY OF AIZU","JAPAN","444","7938","17.88","12"
"577","LIAOCHENG UNIVERSITY","CHINA MAINLAND","388","7935","20.45","10"
"578","UNIVERSITY OF YORK - UK","ENGLAND","646","7916","12.25","6"
"579","TELECOM SUDPARIS","FRANCE","541","7903","14.61","4"
"580","INESC TEC","PORTUGAL","659","7864","11.93","4"
"581","TAIF UNIVERSITY","SAUDI ARABIA","858","7844","9.14","9"
"582","INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY HYDERABAD","INDIA","324","7843","24.21","8"
"583","UNIVERSIDADE DE COIMBRA","PORTUGAL","611","7831","12.82","3"
"584","NINGBO UNIVERSITY","CHINA MAINLAND","766","7829","10.22","10"
"585","ZHONGNAN UNIVERSITY OF ECONOMICS & LAW","CHINA MAINLAND","349","7815","22.39","9"
"586","UNIVERSITY OF BERGEN","NORWAY","671","7803","11.63","6"
"587","UNIVERSITY OF WINDSOR","CANADA","432","7802","18.06","15"
"588","SAMSUNG ELECTRONICS","SOUTH KOREA","561","7799","13.90","5"
"589","SUPSI","N/A","11","7794","708.55","1"
"590","UNIVERSITY OF CYPRUS","CYPRUS","476","7790","16.37","6"
"591","UPPSALA UNIVERSITY","SWEDEN","591","7779","13.16","12"
"592","SICHUAN NORMAL UNIVERSITY","CHINA MAINLAND","370","7778","21.02","9"
"593","WESTERN SYDNEY UNIVERSITY","AUSTRALIA","376","7763","20.65","8"
"594","UNIVERSITY OF FREIBURG","GERMANY (FED REP GER)","316","7700","24.37","8"
"595","UNIVERSITY OF MASSACHUSETTS AMHERST","USA","649","7680","11.83","3"
"596","MICROSOFT RESEARCH ASIA","CHINA MAINLAND","394","7679","19.49","12"
"597","JIANGXI UNIVERSITY OF FINANCE & ECONOMICS","CHINA MAINLAND","419","7661","18.28","4"
"598","GUANGXI NORMAL UNIVERSITY","CHINA MAINLAND","586","7654","13.06","8"
"599","FERDOWSI UNIVERSITY MASHHAD","IRAN","617","7630","12.37","3"
"600","FONDAZIONE BRUNO KESSLER","ITALY","394","7610","19.31","8"
"601","RESEARCH ORGANIZATION OF INFORMATION & SYSTEMS (ROIS)","JAPAN","697","7603","10.91","6"
"602","INTERNATIONAL ISLAMIC UNIVERSITY, PAKISTAN","PAKISTAN","430","7571","17.61","4"
"603","UNIVERSITE DE SFAX","TUNISIA","947","7544","7.97","2"
"604","RENMIN UNIVERSITY OF CHINA","CHINA MAINLAND","828","7527","9.09","3"
"605","UNIVERSITY OF SOUTH CAROLINA COLUMBIA","USA","364","7512","20.64","8"
"605","UNIVERSITY OF SOUTH CAROLINA SYSTEM","USA","364","7512","20.64","8"
"607","ACADEMY OF MATHEMATICS & SYSTEM SCIENCES, CAS","CHINA MAINLAND","465","7497","16.12","3"
"608","PURPLE MT LABS","N/A","631","7485","11.86","12"
"609","INDIAN INSTITUTE OF TECHNOLOGY (IIT) - MADRAS","INDIA","789","7483","9.48","7"
"610","UNIVERSITY OF KENT","ENGLAND","549","7476","13.62","12"
"611","UNIVERSITE DE BORDEAUX","FRANCE","740","7465","10.09","3"
"612","XIANGTAN UNIVERSITY","CHINA MAINLAND","485","7446","15.35","14"
"613","YALE UNIVERSITY","USA","619","7443","12.02","5"
"614","UNIVERSITY OF OKLAHOMA SYSTEM","USA","370","7430","20.08","7"
"615","TRINITY COLLEGE DUBLIN","IRELAND","583","7390","12.68","6"
"616","JOHANNES KEPLER UNIVERSITY LINZ","AUSTRIA","610","7382","12.10","2"
"617","LEIDEN UNIVERSITY - EXCL LUMC","NETHERLANDS","487","7381","15.16","9"
"618","CZECH TECHNICAL UNIVERSITY PRAGUE","CZECH REPUBLIC","743","7353","9.90","3"
"619","SHANMUGHA ARTS, SCIENCE, TECHNOLOGY & RESEARCH ACADEMY (SASTRA)","INDIA","606","7342","12.12","4"
